,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
0,290.31,0.0,0.0,1,23,987,0,0,0,0,0,0,0,1,0,0,0,0
1,247.76,0.0,0.0,1,7,677,0,0,0,0,0,0,0,1,0,0,0,0
2,289.55,0.0,0.0,90,12,4039,0,0,0,0,0,0,0,1,0,0,0,0
3,295.82,0.0,0.0,1,0,971,0,0,0,0,0,0,0,1,0,0,0,0
4,276.92,0.0,0.0,90,7,908,0,0,0,0,0,0,0,1,0,0,0,0
5,249.77,0.0,0.0,20,10,4616,0,0,0,0,0,0,0,1,0,0,0,0
6,260.08,0.0,0.0,90,8,6256,0,0,0,0,0,0,0,1,0,0,0,0
7,279.22,0.0,0.0,90,6,6039,0,0,0,0,0,0,0,1,0,0,0,0
8,265.81,0.0,0.0,90,9,4707,0,0,0,0,0,0,0,1,0,0,0,0
9,296.76,0.25,0.0,90,16,4017,0,0,0,0,0,0,0,1,0,0,0,0
10,265.87,0.0,0.0,90,10,3055,0,0,0,0,0,0,0,1,0,0,0,0
11,274.72,0.0,0.0,90,21,1864,0,0,0,0,0,0,0,1,0,0,0,0
12,306.15,0.0,0.0,40,15,3761,0,0,0,0,0,0,0,1,0,0,0,0
13,285.42,0.0,0.0,0,3,391,0,0,0,0,0,0,0,1,0,0,0,0
14,272.135,0.0,0.0,36,5,566,0,0,0,0,0,0,0,1,0,0,0,0
15,296.73,1.02,0.0,75,14,4211,0,0,0,0,0,0,0,1,0,0,0,0
16,278.72,0.0,0.0,1,0,560,0,0,0,0,0,0,0,1,0,0,0,0
17,298.53,0.0,0.0,40,18,5099,0,0,0,0,0,0,0,1,0,0,0,0
18,271.9,0.0,0.0,75,14,3431,0,0,0,0,0,0,0,1,0,0,0,0
19,276.93,0.0,0.0,64,14,4566,0,0,0,0,0,0,0,1,0,0,0,0
20,295.8,0.0,0.0,75,21,3446,0,0,0,0,0,0,0,1,0,0,0,0
21,293.46,0.0,0.0,0,12,5242,0,0,0,0,0,0,0,1,0,0,0,0
22,293.87,0.0,0.0,1,19,3276,0,0,0,0,0,0,0,1,0,0,0,0
23,275.0,0.0,0.0,90,2,391,0,0,0,0,0,0,0,1,0,0,0,0
24,280.2,1.21,0.0,76,23,1236,0,0,0,0,0,0,0,1,0,0,0,0
25,269.56,0.0,0.0,64,9,2958,0,0,0,0,0,0,0,1,0,0,0,0
26,283.33,0.0,0.0,57,12,4076,0,0,0,0,0,0,0,1,0,0,0,0
27,269.0,0.0,0.0,90,20,2176,0,0,0,0,0,0,0,1,0,0,0,0
28,296.58,0.3,0.0,56,12,4858,0,0,0,0,0,0,0,1,0,0,0,0
29,258.36,0.0,0.0,75,0,741,0,0,0,0,0,0,0,1,0,0,0,0
30,288.494,0.0,0.0,92,6,4949,0,0,0,0,0,0,0,1,0,0,0,0
31,293.22,0.0,0.0,1,1,969,0,0,0,0,0,0,0,1,0,0,0,0
32,265.12,0.0,0.0,64,19,3531,0,0,0,0,0,0,0,1,0,0,0,0
33,295.9,9.4,0.0,1,19,3201,0,0,0,0,0,0,0,1,0,0,0,0
34,268.65,0.0,0.0,1,4,903,0,0,0,0,0,0,0,1,0,0,0,0
