,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
1463,300.39,0.0,0.0,90,18,4770,0,0,0,0,0,0,0,1,0,0,0,0
43039,273.79,0.0,0.0,90,10,4626,0,0,0,0,0,0,0,1,0,0,0,0
3983,300.17,0.0,0.0,75,14,3993,0,0,0,0,0,0,0,1,0,0,0,0
9511,258.51,0.0,0.0,90,7,1195,0,0,0,0,0,0,0,1,0,0,0,0
12088,299.65,0.0,0.0,1,15,5664,0,0,0,0,0,0,0,1,0,0,0,0
8409,294.39,0.0,0.0,1,1,1277,0,0,0,0,0,0,0,1,0,0,0,0
11937,297.91,0.0,0.0,92,19,3378,0,0,0,0,0,0,0,1,0,0,0,0
651,277.47,0.0,0.0,1,2,251,0,0,0,0,0,0,0,1,0,0,0,0
30603,266.41,0.0,0.0,20,11,3767,0,0,0,0,0,0,0,1,0,0,0,0
9828,294.08,0.0,0.0,1,17,6032,0,0,0,0,0,0,0,1,0,0,0,0
35533,295.53,0.0,0.0,1,19,3361,0,0,0,0,0,0,0,1,0,0,0,0
21582,288.78,0.0,0.0,0,0,1041,0,0,0,1,0,0,0,0,0,0,0,0
35852,289.05,1.86,0.0,90,1,401,0,0,0,0,0,0,0,1,0,0,0,0
5047,275.13,0.0,0.0,90,17,6587,0,0,0,0,0,0,0,1,0,0,0,0
8281,290.75,0.0,0.0,90,10,4398,0,0,0,0,0,0,0,1,0,0,0,0
33348,289.81,0.0,0.0,1,2,725,0,0,0,0,0,0,0,1,0,0,0,0
20428,271.71,0.0,0.0,90,3,360,0,0,0,0,0,0,0,1,0,0,0,0
37447,280.35,0.0,0.0,90,9,4378,0,0,0,0,0,0,0,1,0,0,0,0
30282,282.55,0.0,0.0,0,4,852,0,0,0,0,0,0,0,1,0,0,0,0
7154,294.53,0.0,0.0,1,23,851,0,0,0,0,0,0,0,1,0,0,0,0
26261,268.79,0.0,0.0,90,0,407,0,0,0,0,0,0,0,1,0,0,0,0
40515,289.73,0.0,0.0,1,22,2273,0,0,0,0,0,0,0,1,0,0,0,0
23333,285.64,0.0,0.0,0,23,958,0,0,0,0,0,0,0,1,0,0,0,0
6085,289.55,0.0,0.0,90,10,2709,0,0,0,0,0,0,0,1,0,0,0,0
40355,299.15,0.0,0.0,1,19,3640,0,0,0,0,0,0,0,1,0,0,0,0
26759,287.22,0.0,0.0,44,5,2937,0,0,0,0,0,0,0,1,0,0,0,0
29952,274.93,0.0,0.0,75,6,1174,0,0,0,0,0,0,0,1,0,0,0,0
