,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,hour,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
21045,269.68,0.0,0.0,90,3,15,0,0,0,0,0,0,0,1,0,0,0,0
17893,293.39,0.0,0.0,40,4,7,0,0,0,0,0,0,0,1,0,0,0,0
12418,263.14,0.0,0.0,1,1,19,0,0,0,0,0,0,0,1,0,0,0,0
23910,291.16,1.41,0.0,90,4,16,0,0,0,0,0,0,0,1,0,0,0,0
34406,306.68,0.0,0.0,75,2,17,0,0,0,0,0,0,0,1,0,0,0,0
12175,261.81,0.0,0.0,75,4,16,0,0,0,0,0,0,0,1,0,0,0,0
30496,271.75,0.0,0.0,90,1,20,0,0,0,0,0,0,0,1,0,0,0,0
37553,284.75,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10096,259.88,0.0,0.0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
1376,279.93,0.0,0.0,20,0,6,0,0,0,0,0,0,0,1,0,0,0,0
41527,274.51,0.0,0.0,90,4,15,0,0,0,0,0,0,0,1,0,0,0,0
8595,299.34,0.0,0.0,0,2,20,0,0,0,0,0,0,0,1,0,0,0,0
12880,269.72,0.0,0.0,90,0,4,0,0,0,0,0,0,0,1,0,0,0,0
40451,268.15,0.0,0.0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0
12345,276.43,0.0,0.0,90,3,18,0,0,0,0,0,0,0,1,0,0,0,0
22377,283.14,0.0,0.0,40,2,11,0,0,0,0,0,0,0,1,0,0,0,0
9109,283.35,0.0,0.0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0
28003,273.59,0.0,0.0,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0
20787,266.72,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
41082,258.63,0.0,0.0,5,1,21,0,0,0,0,0,0,0,1,0,0,0,0
47074,290.78,1.78,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
13774,283.14,0.0,0.0,90,2,11,0,0,0,0,0,0,0,1,0,0,0,0
1585,273.45,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
4681,277.21,0.0,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
287,284.68,0.0,0.0,93,2,16,0,0,0,0,0,0,0,1,0,0,0,0
20875,276.21,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
4640,271.77,0.0,0.0,75,0,4,0,0,0,0,0,0,0,1,0,0,0,0
21287,265.36,0.0,0.0,90,1,20,0,0,0,0,0,0,0,1,0,0,0,0
31446,264.76,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45027,300.94,0.0,0.0,75,1,22,0,0,0,0,0,0,0,1,0,0,0,0
11232,251.14,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21741,282.5,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11466,266.15,0.0,0.0,90,2,10,0,0,0,0,0,0,0,1,0,0,0,0
12646,248.25,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
27817,276.08,0.0,0.0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0
23557,292.95,0.0,0.0,75,4,7,0,0,0,0,0,0,0,1,0,0,0,0
37134,302.82,0.0,0.0,75,4,16,0,0,0,0,0,0,0,1,0,0,0,0
48057,284.96,0.0,0.0,90,2,5,0,0,0,0,0,0,0,1,0,0,0,0
38677,278.72,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5811,281.95,0.0,0.0,40,3,12,0,0,0,0,0,0,0,1,0,0,0,0
11551,276.793,0.0,0.0,64,3,11,0,0,0,0,0,0,0,1,0,0,0,0
36646,291.62,0.0,0.0,90,3,16,0,0,0,0,0,0,0,1,0,0,0,0
4140,260.21,0.0,0.0,20,0,2,0,0,0,0,0,0,0,1,0,0,0,0
3464,268.22,0.0,0.0,90,2,21,0,0,0,0,0,0,0,1,0,0,0,0
26817,288.13,0.0,0.0,92,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35272,295.89,0.0,0.0,75,0,3,0,0,0,0,0,0,0,1,0,0,0,0
45402,302.61,0.0,0.0,40,3,18,0,0,0,0,0,0,0,1,0,0,0,0
12280,265.05,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10200,262.89,0.0,0.0,64,2,20,0,0,0,0,0,0,0,1,0,0,0,0
26907,288.7,0.0,0.0,68,2,19,0,0,0,0,0,0,0,1,0,0,0,0
1045,277.25,0.0,0.0,20,1,23,0,0,0,0,0,0,0,1,0,0,0,0
16015,289.32,0.0,0.0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0
8250,287.22,0.0,0.0,44,2,5,0,0,0,0,0,0,0,1,0,0,0,0
34317,286.78,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
36895,295.36,0.0,0.0,40,2,13,0,0,0,0,0,0,0,1,0,0,0,0
36495,294.86,0.0,0.0,90,4,17,0,0,0,0,0,0,0,1,0,0,0,0
31291,264.41,0.0,0.0,5,2,9,0,0,0,0,0,0,0,1,0,0,0,0
3755,257.06,0.0,0.0,1,2,20,0,0,0,0,0,0,0,1,0,0,0,0
681,276.23,0.0,0.0,90,2,20,0,0,0,0,0,0,0,1,0,0,0,0
9509,283.9,0.0,0.0,0,3,18,0,0,0,0,0,0,0,1,0,0,0,0
23006,292.73,0.0,0.0,75,3,12,0,0,0,0,0,0,0,1,0,0,0,0
25637,299.06,0.0,0.0,12,2,19,0,0,0,0,0,0,0,1,0,0,0,0
24791,293.96,0.0,0.0,20,1,22,0,0,0,0,0,0,0,1,0,0,0,0
35531,296.02,0.0,0.0,40,1,22,0,0,0,0,0,0,0,1,0,0,0,0
36473,290.82,0.0,0.0,40,0,3,0,0,0,0,0,0,0,1,0,0,0,0
11704,251.15,0.0,0.0,1,2,18,0,0,0,0,0,0,0,1,0,0,0,0
36270,286.96,0.0,0.0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0
32730,288.61,0.0,0.0,90,3,11,0,0,0,0,0,0,0,1,0,0,0,0
4286,262.78,0.0,0.0,1,3,7,0,0,0,0,0,0,0,1,0,0,0,0
4399,260.96,0.0,0.0,20,0,2,0,0,0,0,0,0,0,1,0,0,0,0
8208,295.94,0.0,0.0,88,3,18,0,0,0,0,0,0,0,1,0,0,0,0
32859,280.42,0.0,0.0,90,1,21,0,0,0,0,0,0,0,1,0,0,0,0
41661,266.5,0.0,0.0,90,1,5,0,0,0,0,0,0,0,1,0,0,0,0
44957,299.01,0.0,0.0,1,3,14,0,0,0,0,0,0,0,1,0,0,0,0
30975,275.28,0.0,0.0,1,3,13,0,0,0,0,0,0,0,1,0,0,0,0
29056,257.78,0.0,0.0,90,1,5,0,0,0,0,0,0,0,1,0,0,0,0
39425,271.61,0.0,0.0,75,0,3,0,0,0,0,0,0,0,1,0,0,0,0
46840,301.68,0.0,0.0,90,3,16,0,0,0,0,0,0,0,1,0,0,0,0
2212,269.16,0.0,0.0,90,3,18,0,0,0,0,0,0,0,1,0,0,0,0
29461,273.65,0.0,0.0,90,0,8,0,0,0,0,0,0,0,1,0,0,0,0
19393,285.49,0.0,0.0,5,2,18,0,0,0,0,0,0,0,1,0,0,0,0
31276,269.55,0.0,0.0,90,3,18,0,0,0,0,0,0,0,1,0,0,0,0
42893,272.15,0.0,0.0,90,2,14,0,0,0,0,0,0,0,1,0,0,0,0
45880,303.22,0.0,0.0,75,2,17,0,0,0,0,0,0,0,1,0,0,0,0
24353,300.21,0.0,0.0,0,4,15,0,0,0,0,0,0,0,1,0,0,0,0
