,temperature,rain_1h,snow_1h,clouds_percentage,population_density_categorical,hour,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
18448,288.21,0.0,0.0,1,0,22,0,0,0,0,0,0,0,1,0,0,0,0
29240,253.16,0.0,0.0,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0
23221,284.91,0.0,0.0,90,1,20,0,0,0,0,0,0,0,1,0,0,0,0
16551,299.83,0.0,0.0,1,3,18,0,0,0,0,0,0,0,1,0,0,0,0
13547,289.84,0.0,0.0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0
509,287.28,0.0,0.0,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0
41682,262.61,0.0,0.0,40,1,20,0,0,0,0,0,0,0,1,0,0,0,0
39933,267.95,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29917,270.28,0.0,0.0,90,2,7,0,0,0,0,0,0,0,1,0,0,0,0
36846,295.01,0.0,0.0,40,3,12,0,0,0,0,0,0,0,1,0,0,0,0
43726,292.06,0.0,0.0,1,3,14,0,0,0,0,0,0,0,1,0,0,0,0
11507,267.6,0.25,0.0,64,1,22,0,0,0,0,0,0,0,1,0,0,0,0
2903,261.32,0.0,0.0,75,2,16,0,0,0,0,0,0,0,1,0,0,0,0
46378,288.02,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
27520,280.24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33515,290.75,0.0,0.0,90,3,15,0,0,0,0,0,0,0,1,0,0,0,0
10436,258.03,0.0,0.0,64,3,8,0,0,0,0,0,0,0,1,0,0,0,0
21747,281.55,0.0,0.0,40,0,7,0,0,0,0,0,0,0,1,0,0,0,0
21231,263.72,0.0,0.0,90,2,22,0,0,0,0,0,0,0,1,0,0,0,0
29516,266.93,0.0,0.0,90,2,12,0,0,0,0,0,0,0,1,0,0,0,0
39207,280.35,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
7874,292.85,0.0,0.0,92,0,4,0,0,0,0,0,0,0,1,0,0,0,0
38406,274.15,0.0,0.0,90,4,16,0,0,0,0,0,0,0,1,0,0,0,0
42341,276.23,0.0,0.0,1,1,21,0,0,0,0,0,0,0,1,0,0,0,0
46248,287.15,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
9136,299.74,0.0,0.0,0,4,17,0,0,0,0,0,0,0,1,0,0,0,0
15873,299.9,0.0,0.0,1,2,19,0,0,0,0,0,0,0,1,0,0,0,0
18915,296.12,0.0,0.0,75,2,16,0,0,0,0,0,0,0,1,0,0,0,0
38405,274.15,0.0,0.0,90,3,15,0,0,0,0,0,0,0,1,0,0,0,0
9097,295.72,0.0,0.0,48,3,14,0,0,0,0,0,0,0,1,0,0,0,0
33528,283.63,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
36079,292.48,0.0,0.0,75,3,10,0,0,0,0,0,0,0,1,0,0,0,0
41705,263.42,0.0,0.0,40,2,19,0,0,0,0,0,0,0,1,0,0,0,0
34641,294.49,0.0,0.0,40,2,17,0,0,0,0,0,0,0,1,0,0,0,0
8609,296.78,0.0,0.0,48,3,11,0,0,0,0,0,0,0,1,0,0,0,0
27732,287.153,0.0,0.0,92,1,20,0,0,0,0,0,0,0,1,0,0,0,0
42529,274.87,0.0,0.0,90,2,20,0,0,0,0,0,0,0,1,0,0,0,0
20843,271.48,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
44048,284.29,0.0,0.0,75,2,9,0,0,0,0,0,0,0,1,0,0,0,0
10895,255.18,0.0,0.0,64,2,10,0,0,0,0,0,0,0,1,0,0,0,0
17115,287.09,0.0,0.0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0
4760,275.12,0.0,0.0,1,3,18,0,0,0,0,0,0,0,1,0,0,0,0
33562,292.88,0.0,0.0,40,3,13,0,0,0,0,0,0,0,1,0,0,0,0
1822,269.71,0.0,0.0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
43053,270.58,0.0,0.0,90,0,23,0,0,0,0,0,0,0,1,0,0,0,0
46721,291.93,0.0,0.0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0
20079,266.6,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
21381,275.87,0.0,0.0,75,4,7,0,0,0,0,0,0,0,1,0,0,0,0
7386,299.11,0.0,0.0,1,2,19,0,0,0,0,0,0,0,1,0,0,0,0
16052,300.76,0.0,0.0,1,2,16,0,0,0,0,0,0,0,1,0,0,0,0
41566,267.41,0.0,0.0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
41154,258.42,0.0,0.0,1,4,15,0,0,0,0,0,0,0,1,0,0,0,0
35109,298.42,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31357,275.29,0.0,0.0,90,0,3,0,0,0,0,0,0,0,1,0,0,0,0
37781,284.86,0.0,0.0,90,3,10,0,0,0,0,0,0,0,1,0,0,0,0
32303,284.15,0.0,0.0,90,2,20,0,0,0,0,0,0,0,1,0,0,0,0
6695,288.91,0.0,0.0,92,4,16,0,0,0,0,0,0,0,1,0,0,0,0
14494,283.79,0.64,0.0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0
29115,260.21,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
6934,291.32,0.61,0.0,32,0,2,0,0,0,0,0,0,0,1,0,0,0,0
16447,301.06,0.0,0.0,1,3,18,0,0,0,0,0,0,0,1,0,0,0,0
26416,293.16,0.51,0.0,90,3,8,0,0,0,0,0,0,0,1,0,0,0,0
1072,279.87,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39573,259.43,0.0,0.0,40,3,8,0,0,0,0,0,0,0,1,0,0,0,0
7854,288.32,7.11,0.0,0,3,9,0,0,0,0,0,0,0,1,0,0,0,0
27247,289.914,0.0,0.0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21121,276.21,0.0,0.0,75,1,8,0,0,0,0,0,0,0,1,0,0,0,0
47391,294.1,0.32,0.0,90,4,8,0,0,0,0,0,0,0,1,0,0,0,0
38630,273.08,0.0,0.0,90,1,21,0,0,0,0,0,0,0,1,0,0,0,0
14033,283.56,0.0,0.0,90,0,2,0,0,0,0,0,0,0,1,0,0,0,0
19418,284.58,0.0,0.0,90,3,14,0,0,0,0,0,0,0,1,0,0,0,0
41231,259.58,0.0,0.0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2389,255.5,0.0,0.0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
28299,273.71,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
31829,276.02,0.0,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
47527,284.77,0.0,0.0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0
17638,296.57,0.25,0.0,90,2,19,0,0,0,0,0,0,0,1,0,0,0,0
1034,282.49,0.0,0.0,1,3,12,0,0,0,0,0,0,0,1,0,0,0,0
47285,299.52,0.25,0.0,40,3,13,0,0,0,0,0,0,0,1,0,0,0,0
47378,294.27,0.25,0.0,90,0,2,0,0,0,0,0,0,0,1,0,0,0,0
36428,289.55,0.0,0.0,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0
6574,292.41,0.0,0.0,90,1,22,0,0,0,0,0,0,0,1,0,0,0,0
4304,270.84,0.0,0.0,75,3,10,0,0,0,0,0,0,0,1,0,0,0,0
20253,260.62,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
43861,295.74,0.0,0.0,20,2,14,0,0,0,0,0,0,0,1,0,0,0,0
32875,279.09,0.0,0.0,90,0,3,0,0,0,0,0,0,0,1,0,0,0,0
42082,272.72,0.0,0.0,90,2,16,0,0,0,0,0,0,0,1,0,0,0,0
46948,297.9,0.0,0.0,20,3,13,0,0,0,0,0,0,0,1,0,0,0,0
4747,266.01,0.0,0.0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0
46098,289.62,0.0,0.0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0
18896,286.02,0.0,0.0,90,3,14,0,0,0,0,0,0,0,1,0,0,0,0
3926,266.32,0.0,0.0,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0
40484,274.68,0.0,0.0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0
15727,288.99,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
27430,283.628,0.0,0.0,0,2,21,0,0,0,0,0,0,0,1,0,0,0,0
272,282.33,0.0,0.0,57,2,10,0,0,0,0,0,0,0,1,0,0,0,0
24455,301.88,0.0,0.0,40,2,19,0,0,0,0,0,0,0,1,0,0,0,0
41792,256.21,0.0,0.0,90,1,7,0,0,0,0,0,0,0,1,0,0,0,0
18023,296.77,0.3,0.0,40,1,9,0,0,0,0,0,0,0,1,0,0,0,0
40631,261.79,0.0,0.0,90,3,13,0,0,0,0,0,0,0,1,0,0,0,0
3364,255.78,0.0,0.0,77,1,5,0,0,0,0,0,0,0,1,0,0,0,0
19741,272.44,0.0,0.0,90,2,6,0,0,0,0,0,0,0,1,0,0,0,0
3210,273.37,0.0,0.0,90,3,12,0,0,0,0,0,0,0,1,0,0,0,0
13157,271.59,0.0,0.0,75,4,17,0,0,0,0,0,0,0,1,0,0,0,0
43677,292.88,0.0,0.0,1,3,17,0,0,0,0,0,0,0,1,0,0,0,0
7820,291.99,0.0,0.0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
27918,278.9,0.0,0.0,1,3,8,0,0,0,0,0,0,0,1,0,0,0,0
37879,286.87,0.0,0.0,5,1,21,0,0,0,0,0,0,0,1,0,0,0,0
11661,258.76,0.0,0.0,64,0,2,0,0,0,0,0,0,0,1,0,0,0,0
44052,290.53,0.0,0.0,75,2,13,0,0,0,0,0,0,0,1,0,0,0,0
5799,277.97,0.0,0.0,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11913,257.37,0.0,0.0,0,3,18,0,0,0,0,0,0,0,1,0,0,0,0
47897,288.0,0.98,0.0,90,3,7,0,0,0,0,0,0,0,1,0,0,0,0
39520,265.35,0.0,0.0,90,2,12,0,0,0,0,0,0,0,1,0,0,0,0
45789,295.58,0.0,0.0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0
23206,283.14,0.51,0.0,90,3,10,0,0,0,0,0,0,0,1,0,0,0,0
41860,267.61,0.0,0.0,1,2,22,0,0,0,0,0,0,0,1,0,0,0,0
43359,272.91,0.0,0.0,90,3,14,0,0,0,0,0,0,0,1,0,0,0,0
34394,297.43,0.0,0.0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
24248,290.54,0.0,0.0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0
16855,302.12,0.0,0.0,76,2,14,0,0,0,0,0,0,0,1,0,0,0,0
35887,291.93,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22501,298.78,0.0,0.0,75,2,18,0,0,0,0,0,0,0,1,0,0,0,0
36052,287.42,0.0,0.0,5,4,7,0,0,0,0,0,0,0,1,0,0,0,0
33054,282.09,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6489,285.25,0.0,0.0,90,3,9,0,0,0,0,0,0,0,1,0,0,0,0
23368,281.49,0.0,0.0,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0
36970,283.81,0.0,0.0,75,3,9,0,0,0,0,0,0,0,1,0,0,0,0
23521,298.66,0.0,0.0,1,2,19,0,0,0,0,0,0,0,1,0,0,0,0
30077,267.15,0.0,0.0,1,1,21,0,0,0,0,0,0,0,1,0,0,0,0
16755,293.04,0.0,0.0,1,1,22,0,0,0,0,0,0,0,1,0,0,0,0
41740,269.86,0.0,0.0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30303,275.02,0.0,0.0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15964,299.15,0.0,0.0,1,2,19,0,0,0,0,0,0,0,1,0,0,0,0
41769,268.15,0.0,0.0,5,2,20,0,0,0,0,0,0,0,1,0,0,0,0
5566,281.4,0.0,0.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
1429,267.76,0.0,0.0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0
