Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
20.12.04,17:00:00,2.9,6.8,129,8.9,44.9,,
09.04.04,16:00:00,3.6,-200.0,139,-200.0,-200.0,136.80316200000001,154.0950773
26.12.04,9:00:00,0.9,2.5,117,10.4,82.9,,
12.06.04,15:00:00,1.2,8.6,76,37.0,20.1,,
01.04.05,10:00:00,1.0,3.5,120,16.5,40.8,,
19.06.04,8:00:00,1.4,9.1,86,24.6,44.9,,
16.12.04,7:00:00,1.6,-200.0,99,-200.0,-200.0,,
21.06.04,15:00:00,1.6,9.6,102,31.1,18.2,,
29.03.04,11:00:00,1.5,5.8,98,15.6,30.1,86.539477,119.3053082
21.08.04,22:00:00,-200.0,5.2,-200,24.9,40.8,,
20.04.04,9:00:00,-200.0,20.1,-200,14.5,60.4,181.4448589,217.75608540000002
15.12.04,15:00:00,4.0,-200.0,183,-200.0,-200.0,,
21.06.04,2:00:00,0.6,-200.0,36,-200.0,-200.0,,
04.02.05,9:00:00,3.9,20.1,301,4.4,61.1,,
02.07.04,17:00:00,2.1,11.8,174,34.8,19.3,,
06.05.04,18:00:00,1.8,9.4,92,15.6,58.3,33.05667823,159.40751980000002
24.07.04,19:00:00,1.4,5.6,88,29.9,37.9,,
03.03.05,20:00:00,4.2,15.5,196,4.3,84.0,,
15.03.04,9:00:00,8.1,36.7,149,14.8,54.3,46.42516608,52.97539341
05.04.04,17:00:00,3.2,16.3,111,20.3,42.8,143.91615259999998,165.7374946
30.04.04,7:00:00,3.0,18.3,111,16.6,68.2,57.16076508,131.6649621
25.11.04,13:00:00,2.0,11.4,109,15.4,43.0,,
18.07.04,10:00:00,0.9,7.4,97,31.6,23.8,,
19.04.04,2:00:00,-200.0,3.4,-200,13.8,73.3,189.147674,214.7526387
03.09.04,6:00:00,-200.0,5.1,-200,22.9,56.2,,
02.07.04,18:00:00,2.4,13.8,163,33.6,20.7,,
23.09.04,16:00:00,3.2,18.9,146,31.5,34.9,,
10.05.04,14:00:00,2.2,13.4,102,21.5,39.7,121.995224,70.41641042
07.09.04,16:00:00,1.6,9.0,-200,32.4,19.4,,
13.08.04,2:00:00,0.7,2.6,33,26.7,61.0,,
26.08.04,16:00:00,1.0,-200.0,60,-200.0,-200.0,,
18.02.05,21:00:00,2.8,10.1,202,8.0,41.3,,
28.01.05,23:00:00,1.1,-200.0,91,-200.0,-200.0,,
15.12.04,23:00:00,1.7,-200.0,96,-200.0,-200.0,,
19.08.04,14:00:00,1.0,5.8,34,37.1,27.2,,
17.06.04,21:00:00,1.7,8.2,97,25.8,40.9,,
26.04.04,13:00:00,1.6,6.9,75,20.2,30.7,187.7853451,201.679745
02.09.04,23:00:00,-200.0,9.7,-200,27.4,41.4,,
29.04.04,23:00:00,2.8,13.6,97,17.0,70.7,182.0301591,219.12280840000003
20.10.04,8:00:00,-200.0,37.9,-200,19.9,69.9,,
06.08.04,14:00:00,1.7,10.2,104,33.7,33.4,,
29.04.04,2:00:00,0.6,2.8,54,15.9,60.1,178.43579509999998,206.7018067
20.11.04,21:00:00,1.2,7.6,159,8.0,39.8,,
21.09.04,8:00:00,7.3,41.2,148,19.6,60.7,,
04.09.04,21:00:00,1.9,10.3,-200,30.1,28.7,,
20.02.05,13:00:00,1.1,2.8,112,7.9,66.5,,
21.07.04,22:00:00,3.1,17.0,120,30.1,35.8,,
04.09.04,20:00:00,1.7,7.8,-200,30.7,30.7,,
29.05.04,5:00:00,-200.0,1.5,29,17.7,49.7,,
